id;description;amount;type
1;grid-enabled Generic Wooden Mouse;deposit synthesizing Graphical User Interface;GROUP
2;secured line maroon;methodologies program Small;INDIVIDUAL
3;Secured Centralized;neutral navigating matrix;GROUP
4;time-frame;Shirt applications;GROUP
5;Distributed Wyoming;payment Chicken;INDIVIDUAL
6;array Small Handmade;withdrawal mint green Alabama;INDIVIDUAL
7;Lead relationships;Granite Cambridgeshire plum;INDIVIDUAL
8;Macedonia El Salvador Colon US Dollar 1080p;COM;INDIVIDUAL
9;Small Personal Loan Account;e-markets users;INDIVIDUAL
10;Electronics Investment Account EXE;flexibility reboot Money Market Account;GROUP
