id;name;description;created_date
1;Architect;e-business Solutions;2021-01-03
2;Principal Avon;Division;2021-01-03
3;Money Market Account;Chief;2021-01-03
4;Customer;Prairie parse schemas;2021-01-03
5;XML olive;recontextualize;2021-01-03
6;Cotton infomediaries Forge;back up Cloned navigating;2021-01-03
7;Brunei Dollar Way;Corporate;2021-01-03
8;Steel;Samoa yellow sensor;2021-01-02
9;Grass-roots;Orchestrator Grocery;2021-01-02
10;Gorgeous Bahamian Dollar Tools;Producer Graphic Interface Buckinghamshire;2021-01-02
